"sex","g","iteration","who","source"
"female",11.4586073,"3650","10","mydata1"
"female",8.1528426,"3650","23","mydata1"
"male",9.2998143,"3650","51","mydata1"
"female",9.3788219,"3650","73","mydata1"
"female",11.8394234,"3650","91","mydata1"
"male",9.6149797,"3650","106","mydata1"
"female",9.6728336,"3650","152","mydata1"
"female",11.1309601,"3650","167","mydata1"
"female",9.1894279,"3650","182","mydata1"
"female",9.936596,"3650","206","mydata1"
"female",10.2192189,"3650","266","mydata1"
"female",9.0458114,"3650","267","mydata1"
"male",10.9582365,"3650","268","mydata1"
"female",10.5936821,"3650","273","mydata1"
"female",9.197832,"3650","277","mydata1"
"female",8.3104309,"3650","285","mydata1"
"male",9.5767286,"3650","286","mydata1"
"female",10.1112226,"3650","289","mydata1"
"male",11.2104794,"3650","291","mydata1"
"female",9.6266445,"3650","295","mydata1"
"female",9.9491435,"3650","316","mydata1"
"female",10.8265958,"3650","332","mydata1"
"female",10.1150228,"3650","342","mydata1"
"female",10.9037242,"3650","369","mydata1"
"female",12.9075364,"3650","382","mydata1"
"female",13.9529511,"3650","438","mydata1"
"male",9.9283152,"3650","482","mydata1"
"male",8.8168041,"3650","492","mydata1"
"male",10.7282401,"3650","499","mydata1"
"female",11.4808344,"3650","500","mydata1"
"female",9.7795443,"3650","518","mydata1"
"male",10.6618903,"3650","522","mydata1"
"male",9.4682415,"3650","568","mydata1"
"male",9.1107471,"3650","571","mydata1"
"female",10.7746012,"3650","595","mydata1"
"male",8.0571233,"3650","600","mydata1"
"male",10.5391712,"3650","625","mydata1"
"female",9.579757,"3650","634","mydata1"
"male",10.7354079,"3650","643","mydata1"
"female",11.3636883,"3650","644","mydata1"
"male",9.4203516,"3650","653","mydata1"
"male",12.5384569,"3650","658","mydata1"
"male",11.8434917,"3650","662","mydata1"
"female",10.5247745,"3650","663","mydata1"
"male",9.2300339,"3650","664","mydata1"
"male",10.5166192,"3650","673","mydata1"
"male",10.6654747,"3650","675","mydata1"
"male",8.9689542,"3650","677","mydata1"
"male",9.5239758,"3650","678","mydata1"
"female",10.3275575,"3650","679","mydata1"
"female",10.1044201,"3650","684","mydata1"
"female",9.8724804,"3650","686","mydata1"
"female",8.8606458,"3650","696","mydata1"
"male",10.4417489,"3650","703","mydata1"
"male",11.5111212,"3650","705","mydata1"
"male",12.391594,"3650","706","mydata1"
"male",9.5832375,"3650","708","mydata1"
"female",7.2179534,"3650","709","mydata1"
"male",11.4329271,"3650","711","mydata1"
"female",7.555536,"3650","715","mydata1"
"female",8.4890575,"3650","717","mydata1"
"male",10.2604763,"3650","718","mydata1"
"male",9.7827293,"3650","719","mydata1"
"female",8.95623,"3650","722","mydata1"
"male",14.1883263,"3650","724","mydata1"
"female",12.1505639,"3650","726","mydata1"
"male",13.903015,"3650","730","mydata1"
"female",9.7294448,"3650","733","mydata1"
"female",10.0283489,"3650","737","mydata1"
"male",11.1747589,"3650","769","mydata1"
"male",11.5264378,"3650","773","mydata1"
"female",11.7248482,"3650","776","mydata1"
"female",12.2781014,"3650","782","mydata1"
"female",8.8819532,"3650","810","mydata1"
"male",13.0347047,"3650","822","mydata1"
"male",12.0670117,"3650","836","mydata1"
"male",9.1077099,"3650","841","mydata1"
"female",11.3734243,"3650","848","mydata1"
"male",12.5194917,"3650","867","mydata1"
"female",10.2121227,"3650","880","mydata1"
"male",10.21784,"3650","884","mydata1"
"female",9.2129827,"3650","887","mydata1"
"female",11.7254248,"3650","898","mydata1"
"male",11.200863,"3650","903","mydata1"
"male",8.9803905,"3650","908","mydata1"
"male",12.4925725,"3650","910","mydata1"
"male",10.9952555,"3650","924","mydata1"
"male",10.9977597,"3650","926","mydata1"
"female",9.2291285,"3650","944","mydata1"
"female",11.4678612,"3650","956","mydata1"
"female",12.2737112,"3650","961","mydata1"
"female",10.369179,"3650","962","mydata1"
"male",12.2594323,"3650","970","mydata1"
"female",9.9812771,"3650","976","mydata1"
"female",8.1975266,"3650","980","mydata1"
"male",9.5303362,"3650","982","mydata1"
"male",10.7145473,"3650","991","mydata1"
"male",10.4527297,"3650","994","mydata1"
"female",9.7679001,"3650","999","mydata1"
"female",8.8871413,"3650","1003","mydata1"
"male",11.5199628,"3650","1010","mydata1"
"female",9.8208655,"3650","1028","mydata1"
"male",9.3845766,"3650","1030","mydata1"
