"sex","g","iteration","who","source"
"female",8.5004871,"3650","26","mydata1"
"female",8.9225868,"3650","218","mydata1"
"male",14.2984921,"3650","277","mydata1"
"female",12.1347092,"3650","286","mydata1"
"female",11.4866702,"3650","312","mydata1"
"female",9.6905394,"3650","343","mydata1"
"female",12.3221229,"3650","373","mydata1"
"female",12.3535442,"3650","395","mydata1"
"male",11.101796,"3650","536","mydata1"
"male",11.5106441,"3650","731","mydata1"
"male",9.3041599,"3650","732","mydata1"
"male",9.2496026,"3650","742","mydata1"
"female",11.2803103,"3650","752","mydata1"
"male",11.0887266,"3650","754","mydata1"
"male",10.4023389,"3650","755","mydata1"
"female",12.1149643,"3650","770","mydata1"
"male",7.8846129,"3650","774","mydata1"
"female",9.5643169,"3650","796","mydata1"
"male",11.0468469,"3650","800","mydata1"
"male",11.2242242,"3650","806","mydata1"
"male",9.576315,"3650","807","mydata1"
"female",9.9301637,"3650","814","mydata1"
"female",10.0503746,"3650","824","mydata1"
"female",12.4760686,"3650","835","mydata1"
"male",10.745955,"3650","968","mydata1"
"male",9.6668278,"3650","985","mydata1"
"male",12.2720732,"3650","1015","mydata1"
"female",11.1049785,"3650","1096","mydata1"
"male",11.1350936,"3650","1131","mydata1"
"female",8.6613637,"3650","1172","mydata1"
"male",7.9377795,"3650","1176","mydata1"
"female",7.1862989,"3650","1190","mydata1"
"male",11.3145491,"3650","1199","mydata1"
"female",10.5916557,"3650","1203","mydata1"
"male",13.4154501,"3650","1205","mydata1"
"female",11.28324,"3650","1233","mydata1"
"female",12.2985966,"3650","1241","mydata1"
"female",10.01845,"3650","1246","mydata1"
"female",12.3837244,"3650","1247","mydata1"
"female",12.6482959,"3650","1248","mydata1"
"male",11.6270103,"3650","1251","mydata1"
"female",8.0252283,"3650","1261","mydata1"
"female",9.5252911,"3650","1274","mydata1"
"male",8.7412696,"3650","1277","mydata1"
"male",8.5676137,"3650","1281","mydata1"
"male",9.4876128,"3650","1287","mydata1"
"female",12.596881,"3650","1296","mydata1"
"female",10.0402744,"3650","1300","mydata1"
"male",8.4082587,"3650","1318","mydata1"
"female",12.0289201,"3650","1343","mydata1"
"male",9.5533266,"3650","1357","mydata1"
"female",10.3504914,"3650","1358","mydata1"
"female",12.4117525,"3650","1359","mydata1"
"male",10.196523,"3650","1368","mydata1"
"female",11.071089,"3650","1377","mydata1"
"male",12.4276634,"3650","1381","mydata1"
"male",10.4921019,"3650","1400","mydata1"
"male",11.3733811,"3650","1407","mydata1"
"female",11.5255111,"3650","1414","mydata1"
"female",10.7321279,"3650","1417","mydata1"
"male",10.9295015,"3650","1421","mydata1"
"male",8.0463178,"3650","1432","mydata1"
"female",13.5639471,"3650","1443","mydata1"
"female",12.6457108,"3650","1444","mydata1"
"male",8.9754272,"3650","1451","mydata1"
"female",9.0542213,"3650","1453","mydata1"
"female",11.0192998,"3650","1457","mydata1"
"female",12.5056168,"3650","1459","mydata1"
"male",11.6973498,"3650","1470","mydata1"
"male",9.4097741,"3650","1471","mydata1"
"male",12.578957,"3650","1474","mydata1"
"female",9.1788103,"3650","1475","mydata1"
"female",13.3122604,"3650","1490","mydata1"
"female",12.8181964,"3650","1494","mydata1"
"male",9.3903845,"3650","1505","mydata1"
"male",9.1781187,"3650","1510","mydata1"
"female",7.8140196,"3650","1512","mydata1"
"female",10.5805947,"3650","1535","mydata1"
"female",10.756658,"3650","1549","mydata1"
"female",11.479144,"3650","1558","mydata1"
"male",10.0881371,"3650","1577","mydata1"
"female",11.6723731,"3650","1578","mydata1"
"male",9.8940928,"3650","1579","mydata1"
"male",9.3112667,"3650","1580","mydata1"
"female",11.4520116,"3650","1585","mydata1"
